ITERATION, [OBJ_FUNC]STIFFNESSENERGY_OBJ_FUNC, [OBJ]OBJ_FUNC_DRESP:STIFFNESS_MEASURE, [OBJ]OBJ_FUNC_TERM:STIFFNESS_MEASURE, [CON]MASS_CONSTRAINT_1:LE:MASS_DRESP_1, [VAR]STIFFNESS_MEASURE, [VAR]MASS_DRESP_1, [VAR]AV_CONV_ALL_ELEMENTS, [VAR]AV_CHG_OBJF_ALL_ELEMENTS, [VAR]AV_CHG_DV_ALL_ELEMENTS, [VAR]AV_CONV_TRUE_ALL_ELEMENTS
Norm-Values:, 6.3842838e-3, 6.3842838e-3, 6.3842838e-3, 6.0317361e-1, 6.3842838e-3, 1.0052893, 0.0000000, 1.0000000e-3, 4.9999999e-3, 9.9000001e-1
0, 6.3842838e-3, 6.3842838e-3, 6.3842838e-3, 6.0325897e-1, 6.3842838e-3, 6.0325897e-1, 0.0000000, 0.0000000, 0.0000000, 9.9000001e-1
1, 4.6709888e-3, 4.6709888e-3, 4.6709888e-3, 5.9110057e-1, 4.6709888e-3, 5.9110057e-1, 0.0000000, 3.6679494e-1, 5.7786033e-2, 9.9000001e-1
2, 3.2852977e-3, 3.2852977e-3, 3.2852977e-3, 5.8961940e-1, 3.2852977e-3, 5.8961940e-1, 0.0000000, 4.2178556e-1, 5.3061787e-2, 9.9000001e-1
3, 2.2985511e-3, 2.2985511e-3, 2.2985511e-3, 5.8581018e-1, 2.2985511e-3, 5.8581018e-1, 0.0000000, 4.2929065e-1, 6.5972164e-2, 9.9000001e-1
4, 1.6311931e-3, 1.6311931e-3, 1.6311931e-3, 5.8172166e-1, 1.6311931e-3, 5.8172166e-1, 0.0000000, 4.0912265e-1, 7.7540241e-2, 9.9000001e-1
5, 1.3030759e-3, 1.3030759e-3, 1.3030759e-3, 5.8903998e-1, 1.3030759e-3, 5.8903998e-1, 0.0000000, 2.5180203e-1, 5.8160305e-2, 9.9000001e-1
6, 1.1726744e-3, 1.1726744e-3, 1.1726744e-3, 5.9601575e-1, 1.1726744e-3, 5.9601575e-1, 0.0000000, 1.1120016e-1, 3.9351005e-2, 9.9000001e-1
7, 1.1197387e-3, 1.1197387e-3, 1.1197387e-3, 5.9886760e-1, 1.1197387e-3, 5.9886760e-1, 0.0000000, 4.7275029e-2, 2.6954139e-2, 9.9000001e-1
8, 1.0932540e-3, 1.0932540e-3, 1.0932540e-3, 5.9911990e-1, 1.0932540e-3, 5.9911990e-1, 0.0000000, 2.4225587e-2, 2.4074689e-2, 9.9000001e-1
9, 1.0711438e-3, 1.0711438e-3, 1.0711438e-3, 5.9838879e-1, 1.0711438e-3, 5.9838879e-1, 0.0000000, 2.0641655e-2, 2.6145786e-2, 9.9000001e-1
10, 1.0441500e-3, 1.0441500e-3, 1.0441500e-3, 5.9826148e-1, 1.0441500e-3, 5.9826148e-1, 0.0000000, 2.5852419e-2, 2.6876993e-2, 9.9000001e-1
11, 1.0215221e-3, 1.0215221e-3, 1.0215221e-3, 5.9925151e-1, 1.0215221e-3, 5.9925151e-1, 0.0000000, 2.2151140e-2, 2.2387126e-2, 9.9000001e-1
12, 1.0086739e-3, 1.0086739e-3, 1.0086739e-3, 5.9985846e-1, 1.0086739e-3, 5.9985846e-1, 0.0000000, 1.2737691e-2, 1.7408010e-2, 9.9000001e-1
13, 9.9949352e-4, 9.9949352e-4, 9.9949352e-4, 6.0030985e-1, 9.9949352e-4, 6.0030985e-1, 0.0000000, 9.1850478e-3, 1.5178734e-2, 9.9000001e-1
14, 9.9348405e-4, 9.9348405e-4, 9.9348405e-4, 6.0051024e-1, 9.9348405e-4, 6.0051024e-1, 0.0000000, 6.0488894e-3, 1.5358501e-2, 9.9000001e-1
15, 9.8770601e-4, 9.8770601e-4, 9.8770601e-4, 6.0052478e-1, 9.8770601e-4, 6.0052478e-1, 0.0000000, 5.8499612e-3, 1.5418652e-2, 9.9000001e-1
16, 9.8369026e-4, 9.8369026e-4, 9.8369026e-4, 6.0013425e-1, 9.8369026e-4, 6.0013425e-1, 0.0000000, 4.0823282e-3, 1.5329008e-2, 9.9000001e-1
17, 9.8322937e-4, 9.8322937e-4, 9.8322937e-4, 5.9970611e-1, 9.8322937e-4, 5.9970611e-1, 0.0000000, 4.6874949e-4, 1.5956352e-2, 9.9000001e-1
18, 9.7893470e-4, 9.7893470e-4, 9.7893470e-4, 6.0045391e-1, 9.7893470e-4, 6.0045391e-1, 0.0000000, 4.3870932e-3, 1.4697992e-2, 9.9000001e-1
19, 9.7414025e-4, 9.7414025e-4, 9.7414025e-4, 6.0089839e-1, 9.7414025e-4, 6.0089839e-1, 0.0000000, 4.9217232e-3, 1.2835482e-2, 9.9000001e-1
20, 9.7036769e-4, 9.7036769e-4, 9.7036769e-4, 6.0140789e-1, 9.7036769e-4, 6.0140789e-1, 0.0000000, 3.8877581e-3, 1.0671668e-2, 9.9000001e-1
21, 9.6729590e-4, 9.6729590e-4, 9.6729590e-4, 6.0153866e-1, 9.6729590e-4, 6.0153866e-1, 0.0000000, 3.1756496e-3, 9.2936540e-3, 9.9000001e-1
22, 9.6439803e-4, 9.6439803e-4, 9.6439803e-4, 6.0172564e-1, 9.6439803e-4, 6.0172564e-1, 0.0000000, 3.0048469e-3, 8.0037834e-3, 9.9000001e-1
23, 9.6309494e-4, 9.6309494e-4, 9.6309494e-4, 6.0179448e-1, 9.6309494e-4, 6.0179448e-1, 0.0000000, 1.3530285e-3, 7.9072760e-3, 9.9000001e-1
24, 9.6116983e-4, 9.6116983e-4, 9.6116983e-4, 6.0208690e-1, 9.6116983e-4, 6.0208690e-1, 0.0000000, 2.0028739e-3, 6.8322853e-3, 9.9000001e-1
25, 9.5963501e-4, 9.5963501e-4, 9.5963501e-4, 6.0220069e-1, 9.5963501e-4, 6.0220069e-1, 0.0000000, 1.5993785e-3, 6.2798280e-3, 9.9000001e-1
26, 9.5898664e-4, 9.5898664e-4, 9.5898664e-4, 6.0229057e-1, 9.5898664e-4, 6.0229057e-1, 0.0000000, 6.7610445e-4, 6.1029173e-3, 9.9000001e-1
27, 9.5848640e-4, 9.5848640e-4, 9.5848640e-4, 6.0228461e-1, 9.5848640e-4, 6.0228461e-1, 0.0000000, 5.2190269e-4, 5.8771577e-3, 9.9000001e-1
28, 9.5752341e-4, 9.5752341e-4, 9.5752341e-4, 6.0239607e-1, 9.5752341e-4, 6.0239607e-1, 0.0000000, 1.0057065e-3, 5.5213105e-3, 9.9000001e-1
29, 9.5731241e-4, 9.5731241e-4, 9.5731241e-4, 6.0239315e-1, 9.5731241e-4, 6.0239315e-1, 0.0000000, 2.2041162e-4, 5.4930309e-3, 9.9000001e-1
30, 9.5687300e-4, 9.5687300e-4, 9.5687300e-4, 6.0236502e-1, 9.5687300e-4, 6.0236502e-1, 0.0000000, 4.5921415e-4, 5.2633355e-3, 9.9000001e-1
31, 9.5612346e-4, 9.5612346e-4, 9.5612346e-4, 6.0243320e-1, 9.5612346e-4, 6.0243320e-1, 0.0000000, 7.8393647e-4, 5.2521401e-3, 9.9000001e-1
32, 9.5616363e-4, 9.5616363e-4, 9.5616363e-4, 6.0235006e-1, 9.5616363e-4, 6.0235006e-1, 0.0000000, 4.2004616e-5, 5.4576127e-3, 9.9000001e-1
33, 9.5563068e-4, 9.5563068e-4, 9.5563068e-4, 6.0228944e-1, 9.5563068e-4, 6.0228944e-1, 0.0000000, 5.5769383e-4, 5.0670519e-3, 9.9000001e-1
34, 9.5536327e-4, 9.5536327e-4, 9.5536327e-4, 6.0230786e-1, 9.5536327e-4, 6.0230786e-1, 0.0000000, 2.7989980e-4, 5.0525591e-3, 9.9000001e-1
